"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"10241",0.25,0.2,0.19,0.17,0.13,0.18,0.21,0.23,0.25,0.35,0.45,0.58,0.64,0.72,0.73,0.73,0.72,0.69,0.33
"10242",0.78,0.73,0.68,0.6,0.55,0.48,0.44,0.35,0.29,0.22,0.21,0.18,0.18,0.21,0.24,0.27,0.36,0.45,0.35
"10243",0.19,0.24,0.26,0.31,0.42,0.47,0.56,0.66,0.73,0.8,0.87,0.94,0.94,0.94,0.96,0.97,0.97,0.98,0.75
"10244",0.04,0.04,0.04,0.04,0.06,0.06,0.05,0.07,0.07,0.04,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02
"10245",0.27,0.31,0.3,0.28,0.25,0.22,0.18,0.15,0.15,0.16,0.14,0.14,0.18,0.26,0.35,0.43,0.56,0.63,0.18
"10246",0.88,0.85,0.84,0.84,0.84,0.85,0.84,0.81,0.77,0.76,0.78,0.81,0.83,0.87,0.9,0.91,0.92,0.9,0.94
"10247",0.54,0.52,0.5,0.5,0.54,0.56,0.63,0.66,0.8,0.88,0.9,0.94,0.93,0.87,0.86,0.79,0.75,0.74,0.81
"10248",0.18,0.21,0.28,0.29,0.3,0.31,0.33,0.42,0.44,0.45,0.47,0.47,0.5,0.51,0.53,0.59,0.66,0.66,0.4
"10249",0.85,0.92,0.95,0.99,0.99,0.97,0.9,0.81,0.67,0.59,0.5,0.45,0.4,0.39,0.38,0.38,0.42,0.48,0.74
"10250",0.71,0.7,0.7,0.69,0.71,0.79,0.83,0.92,0.96,0.96,0.9,0.88,0.82,0.77,0.79,0.7,0.7,0.72,0.9
"10251",0.44,0.57,0.7,0.83,0.94,0.97,0.91,0.79,0.56,0.47,0.35,0.32,0.34,0.36,0.45,0.52,0.62,0.72,0.65
"10252",0.58,0.55,0.53,0.51,0.5,0.47,0.37,0.34,0.33,0.3,0.26,0.25,0.24,0.28,0.29,0.37,0.42,0.5,0.36
"10253",0.28,0.26,0.26,0.25,0.29,0.32,0.42,0.51,0.55,0.64,0.65,0.63,0.62,0.55,0.53,0.52,0.49,0.45,0.54
"10254",0,0,0,0,0,0,0,0,0,0.02,0.04,0.1,0.13,0.22,0.28,0.43,0.5,0.59,0
