"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"3057",0.47,0.39,0.28,0.2,0.08,0.05,0.03,0.01,0,0,0,0,0.01,0.03,0.04,0.05,0.07,0.09,0
"3058",0.05,0.05,0.07,0.06,0.08,0.13,0.18,0.27,0.32,0.44,0.6,0.71,0.83,0.93,0.97,0.91,0.85,0.7,0.32
"3059",0.37,0.33,0.31,0.27,0.21,0.2,0.21,0.24,0.28,0.34,0.39,0.45,0.53,0.62,0.69,0.78,0.83,0.82,0.4
"3060",0.92,0.91,0.94,0.97,0.98,1,0.99,0.98,1,0.99,0.98,1,0.99,0.98,0.93,0.89,0.8,0.75,1
"3061",0.04,0.04,0.05,0.06,0.09,0.13,0.18,0.3,0.51,0.59,0.72,0.74,0.71,0.63,0.59,0.54,0.51,0.46,0.29
"3062",0.34,0.34,0.35,0.35,0.4,0.48,0.62,0.83,0.86,0.77,0.59,0.4,0.27,0.17,0.12,0.09,0.07,0.04,0.31
"3063",0.52,0.42,0.36,0.24,0.21,0.19,0.16,0.13,0.13,0.13,0.16,0.22,0.29,0.33,0.39,0.47,0.54,0.65,0.22
"3064",0.25,0.19,0.16,0.14,0.12,0.12,0.11,0.12,0.09,0.1,0.11,0.1,0.08,0.08,0.07,0.09,0.09,0.09,0.08
"3065",0.46,0.41,0.35,0.26,0.22,0.16,0.15,0.13,0.13,0.14,0.13,0.17,0.17,0.2,0.2,0.25,0.26,0.26,0.14
"3066",0.34,0.36,0.35,0.36,0.41,0.45,0.49,0.52,0.5,0.44,0.35,0.29,0.19,0.17,0.11,0.07,0.04,0.04,0.25
"3067",0.54,0.53,0.45,0.41,0.36,0.34,0.3,0.27,0.27,0.26,0.27,0.24,0.25,0.27,0.28,0.3,0.29,0.29,0.26
"3068",0.65,0.63,0.55,0.54,0.52,0.5,0.44,0.35,0.29,0.2,0.18,0.17,0.16,0.14,0.13,0.13,0.18,0.2,0.24
"3069",0.25,0.24,0.33,0.35,0.36,0.4,0.45,0.52,0.62,0.67,0.7,0.73,0.7,0.7,0.67,0.65,0.6,0.54,0.61
"3070",0.58,0.51,0.48,0.42,0.41,0.37,0.4,0.39,0.45,0.55,0.62,0.69,0.77,0.86,0.89,0.91,0.93,0.9,0.72
"3071",0.71,0.72,0.75,0.77,0.75,0.71,0.68,0.59,0.54,0.51,0.47,0.44,0.45,0.48,0.46,0.48,0.49,0.55,0.66
"3072",0.44,0.42,0.4,0.37,0.27,0.23,0.18,0.11,0.06,0.05,0.03,0.04,0.04,0.06,0.08,0.1,0.13,0.15,0.05
"3073",0.62,0.59,0.61,0.57,0.55,0.45,0.42,0.39,0.37,0.31,0.27,0.24,0.24,0.27,0.23,0.21,0.21,0.23,0.35
"3074",0.9,0.83,0.79,0.69,0.46,0.4,0.29,0.2,0.16,0.14,0.13,0.13,0.17,0.19,0.18,0.2,0.22,0.21,0.24
"3075",0.11,0.08,0.07,0.06,0.06,0.07,0.09,0.12,0.19,0.32,0.51,0.74,0.89,1,0.96,0.91,0.72,0.55,0.22
"3076",0.07,0.08,0.11,0.14,0.24,0.42,0.59,0.79,0.85,0.88,0.78,0.63,0.47,0.4,0.3,0.26,0.29,0.31,0.43
"3077",0.84,0.84,0.87,0.89,0.94,0.96,0.98,0.97,0.97,0.92,0.8,0.67,0.58,0.51,0.37,0.28,0.26,0.23,0.79
"3078",0.64,0.6,0.56,0.49,0.43,0.32,0.26,0.21,0.21,0.21,0.19,0.23,0.24,0.29,0.34,0.44,0.58,0.64,0.28
"3079",0.75,0.71,0.71,0.7,0.66,0.64,0.59,0.53,0.45,0.33,0.22,0.17,0.12,0.06,0.05,0.04,0.03,0.02,0.21
"3080",0.39,0.37,0.37,0.41,0.41,0.52,0.62,0.69,0.73,0.75,0.7,0.66,0.55,0.4,0.34,0.38,0.37,0.36,0.6
"3081",0.24,0.24,0.25,0.27,0.28,0.31,0.32,0.32,0.39,0.48,0.49,0.53,0.6,0.57,0.53,0.47,0.41,0.36,0.38
