"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"7911",0.14,0.16,0.16,0.14,0.19,0.23,0.25,0.24,0.22,0.18,0.14,0.13,0.06,0.05,0.03,0.03,0.03,0.03,0.1
"7912",0.22,0.22,0.27,0.4,0.5,0.59,0.71,0.79,0.79,0.78,0.75,0.75,0.68,0.7,0.69,0.7,0.68,0.69,0.7
"7913",0.09,0.08,0.08,0.1,0.1,0.13,0.13,0.24,0.36,0.51,0.61,0.75,0.88,0.89,0.97,0.97,0.97,0.97,0.38
"7914",0.4,0.38,0.37,0.32,0.31,0.31,0.36,0.38,0.46,0.55,0.69,0.8,0.91,0.96,0.94,0.93,0.88,0.84,0.53
"7915",0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.11,0.24,0.33,0
"7916",0.71,0.72,0.81,0.82,0.85,0.85,0.82,0.84,0.82,0.78,0.78,0.69,0.64,0.61,0.57,0.51,0.44,0.39,0.84
"7917",0.29,0.28,0.3,0.36,0.41,0.48,0.56,0.61,0.72,0.8,0.86,0.93,0.95,0.99,0.99,0.99,0.98,0.98,0.81
"7918",0.68,0.73,0.74,0.78,0.86,0.89,0.91,0.94,0.99,1,0.98,0.95,0.89,0.83,0.74,0.7,0.66,0.65,0.95
"7919",0.72,0.64,0.56,0.48,0.32,0.23,0.17,0.12,0.06,0.03,0.03,0.03,0.06,0.09,0.11,0.14,0.2,0.21,0.11
"7920",0.49,0.49,0.44,0.43,0.41,0.47,0.46,0.48,0.53,0.59,0.66,0.69,0.73,0.78,0.8,0.84,0.8,0.79,0.66
"7921",0.09,0.08,0.06,0.05,0.04,0.03,0.04,0.05,0.05,0.05,0.05,0.08,0.11,0.14,0.18,0.18,0.18,0.19,0.04
"7922",0.03,0.03,0.03,0.05,0.06,0.06,0.07,0.1,0.11,0.12,0.12,0.14,0.13,0.13,0.17,0.18,0.26,0.34,0.04
"7923",1,0.97,0.93,0.91,0.89,0.94,0.98,1,1,0.99,0.97,0.95,0.93,0.88,0.81,0.76,0.74,0.71,0.98
"7924",0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.11,0.14,0.21,0.25,0.36,0.47,0.54,0.6,0.62,0.6,0.64,0.15
"7925",0.39,0.37,0.37,0.39,0.35,0.34,0.34,0.31,0.29,0.28,0.23,0.22,0.24,0.25,0.23,0.23,0.22,0.2,0.27
"7926",0.83,0.9,0.92,0.93,0.94,0.93,0.85,0.74,0.66,0.47,0.38,0.36,0.32,0.31,0.29,0.28,0.31,0.32,0.54
"7927",0.42,0.35,0.28,0.2,0.14,0.12,0.09,0.05,0.06,0.08,0.12,0.2,0.28,0.38,0.47,0.53,0.56,0.59,0.15
"7928",0.54,0.53,0.48,0.44,0.36,0.35,0.36,0.41,0.44,0.5,0.6,0.71,0.76,0.85,0.85,0.82,0.76,0.73,0.67
"7929",0.84,0.82,0.75,0.64,0.61,0.56,0.54,0.47,0.41,0.39,0.38,0.34,0.33,0.34,0.36,0.36,0.4,0.4,0.5
