"","Gene","Bh.10.1","Bh.10.2","Bh.10.3","Bh.14.1","Bh.14.2","Bh.14.3","Bh.18.1","Bh.18.2","Bh.18.3","Bh.22.1","Bh.22.2","Bh.22.3","Bh.2.1","Bh.2.2","Bh.2.3","Bh.6.1","Bh.6.2","Bh.6.3"
"5327","Bradi2g09620.v3.1",7.211187615,6.59093947,4.480808696,5.105008801,6.145858837,11.98092757,6.673847619,9.957647483,11.44840287,11.90248109,10.47982895,6.601641732,11.30272288,10.15638568,9.311577714,4.702926038,7.181727448,6.255883659
"5329","Bradi2g09637.v3.1",15.3759207,12.37246532,12.4155741,14.45394058,11.21203977,13.69248865,15.35789031,13.31073286,18.45762911,15.03471296,18.38128728,20.47250694,14.41097167,16.53560313,18.16670554,11.85137362,12.45680159,11.42741415
"5330","Bradi2g09680.v3.1",17.46180142,13.87566204,11.66877265,15.13050801,9.800153281,13.59180859,12.94565623,7.925474528,9.228814555,16.70523662,11.14521491,12.01647147,8.123832067,9.484889103,9.676737625,10.72267137,13.02879758,15.68141504
"5331","Bradi2g09690.v3.1",15.3759207,16.41953342,13.81582681,22.38823137,14.61717778,18.22309152,23.07703936,15.54612311,18.22398824,16.70523662,18.79715351,19.3598707,24.08892813,15.61229534,17.34509574,14.86124628,16.52432864,18.85106276
"5332","Bradi2g09700.v3.1",6.436431921,6.475308953,9.988469386,6.519649794,4.567868055,8.05440509,7.156294435,12.09142909,15.53711818,4.802755529,8.982710528,13.87086521,10.5963027,4.112916514,3.286439193,4.608867518,5.910625245,3.503294849
"5333","Bradi2g09707.v3.1",20.02445487,24.28240857,23.33754529,11.93218925,18.93588939,23.55913489,26.69539048,21.64264198,24.76593273,23.59614673,25.86687939,21.95602194,25.43112647,24.34175079,24.83087391,22.57404498,18.49453706,18.1837685
"5334","Bradi2g09720.v3.1",48.92880192,41.62698613,43.50118443,19.1899126,17.27484646,8.05440509,11.17668457,12.39625503,7.943789744,4.802755529,13.80675877,12.16482297,6.640349689,9.568826174,10.40705745,86.91007319,97.23931855,90.75201894
"5335","Bradi2g09737.v3.1",21.39517648,19.31029634,25.67129982,16.66816127,17.93926363,18.32377158,22.51418474,18.4927739,19.50901305,22.13443852,24.36976097,30.48623317,28.25680719,24.17387665,19.62734518,22.6681035,28.7904649,19.51835701
"5336","Bradi2g09760.v3.1",50.65710308,61.1685435,52.18275128,81.18809177,66.44171716,88.19573574,73.57313942,83.21748254,73.12959382,62.74904506,61.29868203,66.31312032,65.13194057,74.36824553,62.89879456,42.51445139,44.80635266,45.95989195
"5337","Bradi2g09770.v3.1",13.34963658,17.46020807,16.33628171,13.03929959,15.28159495,12.88704814,18.01134779,13.10751556,17.99034736,18.68898347,16.96734211,21.73349469,21.6164575,16.28379191,14.05865655,15.42559741,19.06653305,16.09847395
"5338","Bradi2g09790.v3.1",19.72647191,30.17956494,30.80555979,18.82087582,33.8022236,33.02306087,36.90718141,39.93219858,49.41504502,47.81873983,54.47847589,39.38732314,34.26137872,29.04222681,51.67012732,35.64817937,41.43793183,38.11918443
"5339","Bradi2g09800.v3.1",11.91931837,7.631614123,12.97567518,8.549352088,10.71372689,10.16868643,12.70443282,14.0219934,14.01845249,7.934987395,12.97502632,14.16756821,8.68896821,10.66000811,8.033518028,10.62861285,9.215490973,9.675766725
