Gene,BhBd.10.1,BhBd.10.2,BhBd.10.3,BhBd.14.1,BhBd.14.2,BhBd.14.3,BhBd.18.1,BhBd.18.2,BhBd.18.3,BhBd.22.1,BhBd.22.2,BhBd.22.3,BhBd.2.1,BhBd.2.2,BhBd.2.3,BhBd.6.1,BhBd.6.2,BhBd.6.3
Bradi4g16522.v3.1,29.54005661,24.45243681,21.44204143,22.16953223,20.67050526,25.48901868,18.83855705,21.82867852,12.82351613,30.5195227,26.15032225,21.87588962,23.47096718,27.26020788,25.73599127,19.32154261,21.16952215,20.81175002
Bradi4g16530.v3.1,15.06425198,12.79753702,15.02775553,13.32594834,20.50645363,11.06500036,18.99686425,25.23315131,22.44115323,26.18904988,19.24268996,16.62567611,16.66577551,13.79432206,19.30199345,15.60586134,21.79583937,22.45047049
Bradi4g16540.v3.1,5.060647148,20.11041532,8.430204322,8.48014894,11.3195624,13.43607186,7.282131296,12.41631255,10.99158525,4.949111789,8.387839212,5.250213509,5.416377041,17.40712069,13.22543996,7.802930669,7.140016347,7.210370085
Bradi4g16547.v3.1,59.66856056,72.44320065,56.26245059,77.04821037,79.07288519,81.80196692,69.02194011,90.71918687,74.19320047,85.78460434,67.92505087,71.89875722,49.58068214,54.35619764,47.71881714,67.8111832,71.90121725,67.51528353
Bradi4g16560.v3.1,109.2158268,103.0658785,133.7836773,159.3056551,123.5308766,124.2836647,120.4717808,106.5399722,145.6385046,121.8718778,119.8967605,150.7977991,147.2143503,100.8299255,83.99941594,89.17635051,117.4971111,113.5633288
Bradi4g16590.v3.1,11.88663633,8.226988086,5.864489963,8.116713986,8.202581451,7.903571683,10.60658254,6.00789317,6.869740784,14.43490938,14.96653663,14.58392641,10.83275408,10.18152343,17.87221616,9.289203178,7.76633357,9.504578749
Bradi4g16600.v3.1,22.71406743,13.02606447,19.05959238,27.86334652,29.85739648,27.66250089,28.81191078,23.83130957,25.18904954,14.0224834,22.6965061,22.16756815,23.60984864,23.64740925,22.3402702,23.03722388,21.79583937,28.18599215
Bradi4g16620.v3.1,3.530684057,8.226988086,13.92816366,8.237858971,13.78033684,11.06500036,9.498432125,16.02104845,32.28778169,16.08461331,10.69038331,23.91763932,18.05459014,7.554033509,6.076553493,8.546066924,10.27160246,6.227137801
Bradi4g16630.v3.1,7.296747051,8.912570426,9.163265568,60.45134745,46.75471427,55.12741249,51.44984068,62.28182586,57.01884851,21.65236408,20.06502713,34.12638781,13.7492648,9.524650946,13.9403286,4.273033462,1.753688226,1.474848427
Bradi4g16640.v3.1,182.8894342,180.9937379,192.6118422,158.9422201,178.1600691,193.6375062,171.6050071,166.819167,171.7435196,164.970393,201.637076,164.0691721,190.4064852,184.5811666,180.5093832,154.0149887,136.2866278,150.1067954
Bradi4g16678.v3.1,32.36460386,21.25305256,31.33836824,36.22235047,32.8103258,23.71071505,40.05172213,32.24236001,34.34870392,31.55058766,27.95946404,44.3351363,43.46989779,38.09860378,30.2040453,34.74161988,31.6916515,26.54727168
Bradi4g16682.v3.1,8.002883863,3.427911702,11.3624493,7.632134046,2.460774435,7.310803807,9.023510519,9.612629072,15.8004038,6.186389736,11.84165536,8.021159527,11.52716139,10.18152343,9.472274563,7.059794415,6.638962568,6.063265754
Bradi4g16690.v3.1,8.2382628,5.484658724,6.78081652,3.634349546,7.382323306,3.951785842,6.015673679,3.404472796,6.182766706,7.629880675,7.401034599,5.833570565,9.721702381,3.941234874,7.148886463,5.573521907,3.883166785,6.554881896
Bradi4g16700.v3.1,49.07650839,68.55823405,76.60490015,57.6650128,68.73763256,51.37321594,57.94043597,96.32655383,78.77302766,51.96567379,69.07632292,72.62795354,71.6628347,82.93015048,58.26342467,72.45578479,79.16649704,84.88572055
Bradi4g16730.v3.1,13.06353101,18.96777809,19.05959238,16.47571794,26.24826064,21.73482213,21.84639389,24.632362,28.39492857,25.15798493,36.34730325,24.50099637,33.74819541,34.97845951,36.10187664,10.03233943,18.03793603,22.77821459
Bradi4g16790.v3.1,51.54798723,54.84658724,44.35020535,28.8325064,48.0671273,51.96598382,59.20689358,42.4557784,42.59239286,61.0390454,71.70780189,53.23133141,53.60824456,50.08652653,57.54853602,62.79501348,43.84220564,43.58996461
Bradi4g16800.v3.1,127.5753839,110.1502294,119.6722483,93.76621828,83.99443406,116.9728609,123.4796176,102.7349732,148.8443837,159.1964292,153.2836499,158.6731194,137.3537665,152.5586333,136.9011758,115.1861194,67.14120635,121.101443
Bradi4g16810.v3.1,30.24619342,25.13801915,29.13918451,27.62105655,31.16980951,25.68660797,45.2758598,33.84446486,29.31089401,23.71449399,30.59094301,43.16842218,18.05459014,27.91708036,21.08921506,26.0097689,35.07376451,35.23249019
Bradi4g16820.v3.1,33.42380907,39.30672086,26.75673546,28.71136141,36.7475649,41.69134063,29.60344679,44.85893567,59.99573618,41.03638525,32.56455223,38.64740499,27.77629252,46.47372789,38.6039869,37.15681271,28.3095385,34.9047461
Bradi4g16830.v3.1,215.489417,245.2099505,247.4081703,221.5741773,256.4126962,247.9745616,258.8322754,281.5699266,275.0186227,277.5626862,265.6149084,285.4074399,221.3770514,184.9096029,315.6233373,279.6050156,314.1607193,306.1129845
Bradi4g16840.v3.1,28.8339198,32.22237,29.32244982,32.8302909,45.60635287,34.38053682,37.5188069,22.02894162,24.73106682,32.99407859,42.26813093,35.14726266,32.49826225,42.69671114,40.21248635,32.69799519,29.4369095,31.79117719
Bradi4g16841.v3.1,3.177615651,2.513801915,2.932244982,2.180609728,4.101290725,3.556607257,4.749216063,0.200263106,5.495792627,2.680768886,2.302544097,2.625106754,4.999732653,5.090761713,3.574443231,3.344113144,3.507376451,2.621952758
Bradi4g16847.v3.1,26.9508883,31.53678766,35.18693978,23.62327205,39.86454585,33.98535824,37.36049969,48.06314536,38.47054839,40.41774628,41.11685888,36.75149456,33.74819541,49.92230841,40.21248635,41.61563024,41.96325397,36.70733862
Bradi4g16857.v3.1,48.60575052,44.56285213,40.13510319,40.8258599,48.39523056,52.95393028,59.04858638,62.68235207,57.24783987,51.96567379,60.68848371,57.02315227,50.83061531,63.22397611,57.72725819,58.52198002,47.22431865,59.32168116
Bradi4g16870.v3.1,7.532125988,2.285274468,8.796734945,3.149769606,8.530684709,5.927678762,6.965516892,2.803683479,6.869740784,4.949111789,6.24976255,6.125249093,4.999732653,2.627489916,9.650996725,3.344113144,5.261064677,4.42454528
Bradi4g16885.v3.1,145.6995621,111.5213941,121.6881667,156.7616104,161.426803,160.0473266,197.5673882,190.8507397,142.6616169,176.1058945,166.4410448,168.1526715,196.7950325,173.4143345,222.5090911,127.0762995,132.5287245,164.1997915
