Gene,BhBs.10.1,BhBs.10.2,BhBs.10.3,BhBs.14.1,BhBs.14.2,BhBs.14.3,BhBs.18.1,BhBs.18.2,BhBs.18.3,BhBs.22.1,BhBs.22.2,BhBs.22.3,BhBs.2.1,BhBs.2.2,BhBs.2.3,BhBs.6.1,BhBs.6.2,BhBs.6.3
Bradi1g25697.v3.1,2.173244797,0.46812162,2.663733009,1.624193994,2.523134621,1.847499205,4.575333852,3.506419119,0,1.691875613,2.5240347,0.301903608,0.718855995,4.464113251,1.866079673,1.905093572,2.322220776,1.528950162
Bradi1g25712.v3.1,1.931773153,4.681216199,0.761066574,3.498263986,5.719105142,5.337219924,4.738738633,4.331458912,7.154493415,5.287111292,3.3653796,5.73616855,5.031991967,6.35277655,8.024142592,4.191205859,4.515429286,2.038600216
Bradi1g25727.v3.1,5.916055281,6.787763488,12.36733183,10.24491596,16.48447953,12.11138367,17.97452585,22.48233435,17.1707842,13.32352045,12.78844248,20.52944534,16.82123029,12.19046311,21.45991624,14.47871115,9.93394443,10.53276778
Bradi1g25760.v3.1,2.173244797,5.851520248,1.902666435,2.748635989,4.878060268,4.310831477,4.902143413,2.475119378,2.146348025,4.864142388,2.5240347,4.830457727,8.482500745,8.241439848,6.904494789,2.667131001,1.290122653,5.26638389
Bradi1g25780.v3.1,29.09733311,19.66110803,26.06653016,19.61526592,19.51224107,21.75943508,33.33457521,33.00159171,41.2575787,23.68625859,31.29803028,38.64366181,24.15356144,22.66395958,44.97252011,24.00417901,20.12591339,26.67168615
Bradi1g25790.v3.1,98.15822333,95.02868883,97.22625482,94.32818964,105.6352361,96.89106939,109.4812029,107.2551731,111.1331311,102.992928,95.74504961,96.60915453,99.92098335,108.168898,130.2523612,101.3509781,90.82463479,90.20805954
Bradi1g25810.v3.1,8.451507544,4.681216199,12.17706518,19.11551393,5.887314116,9.237496023,17.15750195,10.10673746,13.59353749,7.824924712,8.749986959,13.13280694,7.044788754,7.726349858,8.583966494,5.334262003,6.06357647,7.304984106
Bradi1g25816.v3.1,38.75619888,58.04708086,47.94719416,65.34257375,59.37776809,53.37219924,55.72103013,64.14684388,54.37414996,47.16103272,49.47108012,46.79505923,41.69364773,57.17498895,50.57075913,46.67479253,46.05737872,48.07698842
Bradi1g25822.v3.1,12.19431803,20.59735127,14.84079819,14.36786994,10.09253849,10.26388447,19.44516887,17.53209559,17.1707842,13.95797381,9.927869819,15.84993942,19.84042547,9.099923166,19.4072286,14.28820179,20.64196245,14.10031816
Bradi1g25830.v3.1,16.78227927,22.46983775,19.78773092,10.99454396,19.3440321,25.04387811,14.37962068,23.71989404,25.04072695,23.89774304,19.18266372,29.58655358,22.14076466,19.05832965,18.47418876,21.33704801,14.57838598,16.47868508
Bradi1g25837.v3.1,187.6234675,237.3376613,208.9127745,236.7575091,217.6624133,216.77324,254.7480527,266.487853,279.7406925,267.1048625,240.1198344,254.9575969,236.6473937,333.6066172,218.1447137,176.4116648,220.8689982,204.1997883
Bradi1g25860.v3.1,314.9997597,355.7724311,388.1439527,2551.733702,1979.819633,2135.914358,2346.165838,2463.775081,2147.54044,1196.790512,1037.041724,1241.427636,353.1020649,222.6905726,182.8758079,94.11162248,91.08265932,76.95715814
Bradi1g25900.v3.1,23.5434853,15.21395265,17.69479784,13.86811795,23.54925647,17.4486036,12.90897765,14.02567648,29.09493989,21.57141407,21.53842944,11.17043349,24.72864624,12.36215977,22.76617201,20.00348251,25.15739174,30.57900323
Bradi1g25977.v3.1,92.36290387,97.36929693,102.7439875,48.60088181,105.6352361,98.94384629,110.134822,96.52965575,100.639874,99.39769228,109.7113749,111.8552867,100.9273817,127.9140143,114.017468,102.1130155,71.85983179,72.03054095
Bradi1g25990.v3.1,5.553847814,7.489945918,3.044266296,4.997519981,6.055523091,8.826940644,4.575333852,6.600318342,7.631459643,13.112036,7.067297159,12.98185514,20.12796787,22.66395958,13.80898958,8.382411719,6.192588736,5.436267241
Bradi1g26000.v3.1,21.3702405,33.23663501,40.7170617,37.10658586,43.22970651,34.28137413,64.70829305,42.07702943,78.69942757,66.19463337,50.14415604,63.24880586,8.338729546,77.09180191,5.225023083,21.33704801,28.89874743,34.14655361
Bradi1g26010.v3.1,121.460237,92.21995911,114.5405194,51.5993938,110.1768785,84.57440803,157.5222083,94.05453637,155.4909902,136.6189558,132.0911493,147.7818161,135.5762407,84.13136512,144.6211746,145.5491489,124.1097992,106.5168613
Bradi1g26020.v3.1,11.83211056,10.76679726,16.36293134,24.23797191,15.13880773,10.05860678,11.92854897,14.43819637,10.01629078,11.42016039,8.245180019,6.49092757,14.9522047,10.64519314,8.583966494,14.66922051,19.48085206,10.19300108
Bradi1g26030.v3.1,21.73244797,18.25674317,22.26119729,21.73921192,23.38104749,34.07609644,33.66138477,39.80817,29.333423,23.26328968,28.43745762,25.20895126,20.12796787,25.75449953,26.49833135,24.38519773,21.41603604,25.8222694
Bradi1g26040.v3.1,3.863546306,12.63928374,15.60186477,7.74615597,6.391941041,12.72721674,13.72600156,21.86355451,18.12471665,17.34172504,13.4615184,21.43515616,11.50169593,6.86786654,10.8232621,11.04954272,11.09505482,12.571368
