Gene,Bs.10.1,Bs.10.2,Bs.10.3,Bs.14.1,Bs.14.2,Bs.14.3,Bs.18.1,Bs.18.2,Bs.18.3,Bs.22.1,Bs.22.2,Bs.22.3,Bs.2.1,Bs.2.2,Bs.2.3,Bs.6.1,Bs.6.2,Bs.6.3
Bradi3g30040.v3.1,24.64252697,35.80574267,26.96559308,20.47763861,28.76008599,30.65037397,25.01094108,27.27851277,24.47593864,26.21990693,29.37779146,28.02523534,14.71322713,24.3751944,18.27901259,28.08443738,36.65326852,35.3301294
Bradi3g30060.v3.1,18.29233733,10.37682351,17.84679348,14.31895031,16.62179875,15.72966406,24.3349697,22.4040019,21.03784692,20.95302606,17.30472647,30.26199122,11.60965579,16.07725588,23.69501632,17.74253307,21.25690912,13.47300094
Bradi3g30070.v3.1,151.6463198,139.2318847,143.5559593,135.2601919,118.3209621,152.1732643,133.9389007,135.5488985,139.4882924,125.3746642,164.8979459,133.547483,160.3511863,171.144982,152.8086767,171.5427797,154.4602508,156.128305
Bradi3g30080.v3.1,77.24484417,91.90900826,76.20711087,91.2255705,81.68739252,96.44531164,91.15956903,114.1760431,108.7091857,96.06332714,82.801104,100.7855881,102.7626958,133.5449481,99.22892548,112.8121488,96.05341643,95.77092929
Bradi3g30090.v3.1,20.66181108,7.297985767,12.76631943,14.0879995,13.88795027,17.43745616,17.09241919,21.37285537,18.66392645,11.56423843,15.49376673,25.92005335,15.05806839,13.22483952,12.86300886,18.31181221,19.76693885,14.26553041
Bradi3g30100.v3.1,5.591958044,7.64007885,6.904233976,5.234885058,9.623146642,6.022214241,8.111656566,8.717875216,6.958042757,4.923388638,3.621919495,9.473318989,3.218518436,5.445522154,6.866719015,6.356950353,4.767904849,5.339145883
Bradi3g30110.v3.1,186.5249734,205.4839118,164.6594669,168.7480595,156.8135487,198.9128375,149.1965404,179.2320152,194.8251972,134.8779492,133.1055414,128.284528,87.93452154,71.82903031,81.72362771,134.3498761,157.9368481,173.2302567
Bradi3g30120.v3.1,30.04492712,29.64806718,29.31042726,29.40773665,30.72845689,33.25700401,20.4722761,20.43544943,23.00247076,19.69355455,19.71933947,13.42053523,22.41468196,15.68829001,40.42659927,20.30428919,12.11842482,19.81323668
Bradi3g30127.v3.1,75.15970727,95.10187703,85.06537333,69.36222702,76.00098768,75.59227129,55.04338384,76.0236215,67.94324104,94.4603634,91.75529386,83.6809844,87.47473319,81.81248759,76.40433834,70.02133374,69.53194571,85.21777375
Bradi3g30150.v3.1,124.918656,161.011811,151.5023418,111.8571763,113.4000349,116.1298627,97.05017678,97.49021747,85.29741826,143.3507575,147.3920017,107.232708,134.4880918,127.9697706,108.5135033,117.1766222,132.706685,128.8486065
Bradi3g30152.v3.1,17.62888468,27.2534156,12.37551373,14.78085193,33.13424355,17.97675893,15.25763973,17.15452865,14.81653811,20.49503642,16.60046435,28.28838309,21.26521109,15.42897944,23.79173067,14.2319784,22.74687938,23.90102024
Bradi3g30154.v3.1,34.78387461,29.07791204,21.36404476,28.48393341,29.52556356,26.96513839,23.46586364,35.43394443,23.32990807,31.83028003,30.08205358,22.23598485,28.73677175,22.04139919,25.62930337,25.42780141,33.77265934,41.3783806
Bradi3g30160.v3.1,461.3839281,519.2972998,434.8364719,184.6836655,338.2317337,302.7286203,153.6386381,229.102011,96.02099004,172.4330997,145.1786064,195.3872042,162.0753926,85.83180156,52.1290359,361.9666507,403.6826105,464.2554194
Bradi3g30170.v3.1,12.51082139,12.31535098,9.509605288,12.77927823,18.37146177,17.34757236,17.09241919,20.9041524,14.81653811,19.35006232,13.78341585,10.65748386,22.52962905,19.70760398,17.02172601,16.6039748,18.87295669,15.30833234
