"","Gene","Bs.10.1","Bs.10.2","Bs.10.3","Bs.14.1","Bs.14.2","Bs.14.3","Bs.18.1","Bs.18.2","Bs.18.3","Bs.22.1","Bs.22.2","Bs.22.3","Bs.2.1","Bs.2.2","Bs.2.3","Bs.6.1","Bs.6.2","Bs.6.3"
"15153","Bradi5g15970.v3.1",37.34290626,22.6921745,24.09968463,24.3268188,22.19884964,12.04442848,14.58166835,18.18567518,20.30111298,20.95302606,15.5943756,10.26276224,19.77089896,21.39312275,25.24244596,32.25915104,30.29606206,43.08857576
"15210","Bradi5g16900.v3.1",31.75094822,26.91132252,14.98088504,26.4053761,24.82334418,24.80792732,32.83289563,24.56003555,18.33648915,43.73801069,37.12467482,32.10402546,54.48491923,64.43867882,52.41917896,38.33146183,29.30274855,31.57604245
"15234","Bradi5g17220.v3.1",8.340547591,7.982171933,10.29121668,13.16419625,16.62179875,13.84210437,12.16748485,11.62383362,7.039902083,7.785823892,10.26210523,8.157580241,4.482936392,4.667590417,4.062002798,8.823826609,8.939821591,8.467551675
"15280","Bradi5g17980.v3.1",31.94050612,52.56830373,31.26445574,34.3346873,40.67966535,37.48154236,41.04111953,43.49563548,44.85891095,52.55431127,51.81357055,43.9456742,56.66891388,59.7710884,60.73661326,44.11913304,37.54725068,39.04250427
"15290","Bradi5g18170.v3.1",239.4116274,163.1784005,248.4221546,211.5509432,165.0150941,151.2744264,140.3123451,134.4240114,111.0012468,174.9520428,141.3554692,146.3101488,294.3794898,253.4760907,362.4853925,308.5492917,305.1459103,283.0998681
"15356","Bradi5g19190.v3.1",65.11313858,58.26985511,52.6285005,42.5719329,56.20792471,49.61585464,55.13995118,39.83975233,40.52036664,30.11281888,32.99971095,35.13022458,31.95529018,37.08141276,37.71859741,52.27880066,56.51953873,68.69979117
"15364","Bradi5g19380.v3.1",3.127705347,3.763023911,2.996177008,3.310294963,6.451882408,12.40396366,10.81554209,9.374059372,12.85191427,16.25863225,15.69498448,13.55210911,31.03571349,26.8386449,28.04716217,15.18077696,17.58164913,18.60358644
"15407","Bradi5g20300.v3.1",3.032926397,2.280620552,3.647519836,8.237245607,6.451882408,3.505467991,11.68464815,7.780469279,6.794324104,6.29735756,4.829225993,3.815642371,0.919576696,3.111726945,3.094859274,1.89759712,0.893982159,1.751907243
"15441","Bradi5g20840.v3.1",94.3998341,115.8555241,100.8278698,93.99698024,97.98112945,90.69274879,61.51339563,79.96072644,67.45208508,71.44638395,71.83473664,70.39202304,50.57671827,38.37796565,49.61446274,89.9461035,72.21389218,98.10680561
"15551","Bradi5g22630.v3.1",17.53410573,17.67480928,17.97706205,17.70622887,15.0908436,13.57245299,14.38853367,15.46719796,15.30769406,20.03704678,18.61264185,18.15719473,24.82857079,25.80140258,20.01987093,18.50157192,18.57496264,21.56514392
